time_epoch,time_str,real_id,x,y,camera_id
1785723228.290,09:13:48,Lon_Xanhduong_04,0.5946,0.4556,cam1
1785723229.144,09:13:49,Lon_Vang_02,0.6679,0.2852,cam1
1785723229.303,09:13:49,Lon_Xanhduong_04,0.5732,0.3685,cam1
1785723230.159,09:13:50,Lon_Vang_02,0.6661,0.2741,cam1
1785723230.316,09:13:50,Lon_Xanhduong_04,0.5732,0.3667,cam1
1785723231.176,09:13:51,Lon_Vang_02,0.6679,0.2648,cam1
1785723231.331,09:13:51,Lon_Xanhduong_04,0.5661,0.3648,cam1
1785723232.201,09:13:52,Lon_Vang_02,0.6857,0.2722,cam1
1785723232.345,09:13:52,Lon_Xanhduong_04,0.5964,0.3667,cam1
1785723233.215,09:13:53,Lon_Vang_02,0.8589,0.3019,cam1
1785723233.374,09:13:53,Lon_Xanhduong_04,0.7786,0.4000,cam1
1785723234.307,09:13:54,Lon_Vang_02,0.8893,0.2963,cam1
1785723234.393,09:13:54,Lon_Xanhduong_04,0.7875,0.3963,cam1
1785723235.322,09:13:55,Lon_Vang_02,0.9089,0.2833,cam1
1785723235.403,09:13:55,Lon_Xanhduong_04,0.7821,0.3407,cam1
1785723236.338,09:13:56,Lon_Vang_02,0.8946,0.2778,cam1
1785723236.419,09:13:56,Lon_Xanhduong_04,0.7375,0.3833,cam1
1785723237.444,09:13:57,Lon_Xanhduong_04,0.9036,0.2704,cam1
1785723238.473,09:13:58,Lon_Xanhduong_04,0.7071,0.3407,cam1
1785723239.489,09:13:59,Lon_Xanhduong_04,0.7304,0.3407,cam1
1785723240.517,09:14:00,Lon_Xanhduong_04,0.8714,0.2741,cam1
1785723241.525,09:14:01,Lon_Xanhduong_04,0.6554,0.2759,cam1
1785723242.538,09:14:02,Lon_Xanhduong_04,0.6214,0.2778,cam1
1785723243.555,09:14:03,Lon_Xanhduong_04,0.6643,0.2704,cam1
1785723244.576,09:14:04,Lon_Xanhduong_04,0.6625,0.2630,cam1
1785723245.590,09:14:05,Lon_Xanhduong_04,0.7107,0.2333,cam1
1785723246.605,09:14:06,Lon_Xanhduong_04,0.8214,0.1852,cam1
1785723255.374,09:14:15,Lon_Vang_02,0.4786,0.5389,cam1
1785723256.480,09:14:16,Lon_Vang_02,0.4089,0.5500,cam1
1785723257.499,09:14:17,Lon_Vang_02,0.4196,0.4759,cam1
1785723258.512,09:14:18,Lon_Vang_02,0.6571,0.4315,cam1
